season,episode,title,air_date,rating,votes
1,1,Pilot,3/24/2005,7.6,3706
1,2,Diversity Day,3/29/2005,8.3,3566
1,3,Health Care,4/5/2005,7.9,2983
1,4,The Alliance,4/12/2005,8.1,2886
1,5,Basketball,4/19/2005,8.4,3179
1,6,Hot Girl,4/26/2005,7.8,2852
2,1,The Dundies,9/20/2005,8.7,3213
2,2,Sexual Harassment,9/27/2005,8.2,2736
2,3,Office Olympics,10/4/2005,8.4,2742
2,4,The Fire,10/11/2005,8.4,2713
2,5,Halloween,10/18/2005,8.2,2561
2,6,The Fight,11/1/2005,8.2,2550
2,7,The Client,11/8/2005,8.6,2631
2,8,Performance Review,11/15/2005,8.2,2416
2,9,E-Mail Surveillance,11/22/2005,8.4,2527
2,10,Christmas Party,12/6/2005,8.8,2755
2,11,Booze Cruise,1/5/2006,8.6,2679
2,12,The Injury,1/12/2006,9,3282
2,13,The Secret,1/19/2006,8.3,2363
2,14,The Carpet,1/26/2006,7.9,2342
2,15,Boys and Girls,2/2/2006,8.2,2323
2,16,Valentine's Day,2/9/2006,8.3,2345
2,17,Dwight's Speech,3/2/2006,8.4,2463
2,18,Take Your Daughter to Work Day,3/16/2006,8.3,2415
2,19,Michael's Birthday,3/30/2006,8.1,2337
2,20,Drug Testing,4/27/2006,8.4,2397
2,21,Conflict Resolution,5/4/2006,8.7,2440
2,22,Casino Night,5/11/2006,9.3,3644
3,1,Gay Witch Hunt,9/21/2006,8.9,3087
3,2,The Convention,9/28/2006,8.2,2275
3,3,The Coup,10/5/2006,8.5,2388
3,4,Grief Counseling,10/12/2006,8,2311
3,5,Initiation,10/19/2006,8.2,2254
3,6,Diwali,11/2/2006,8,2320
3,7,Branch Closing,11/9/2006,8.5,2260
3,8,The Merger,11/16/2006,8.7,2376
3,9,The Convict,11/30/2006,8.2,2373
3,10,A Benihana Christmas,12/14/2006,8.7,2541
3,11,Back from Vacation,1/4/2007,8.5,2255
3,12,Traveling Salesmen,1/11/2007,8.6,2316
3,13,The Return,1/18/2007,8.8,2430
3,14,Ben Franklin,2/1/2007,8.2,2254
3,15,Phyllis' Wedding,2/8/2007,8.3,2283
3,16,Business School,2/15/2007,8.8,2622
3,17,Cocktails,2/22/2007,8.5,2264
3,18,The Negotiation,4/5/2007,8.9,2555
3,19,Safety Training,4/12/2007,8.8,2424
3,20,Product Recall,4/26/2007,8.7,2409
3,21,Women's Appreciation,5/3/2007,8.8,2403
